time,frame_id,fps,camera_us,vidConv_us,enc_us,rtpPay_us,udpStream_us,rtpDepay_us,dec_us,presentation_us,total_latency_us
2026-01-26 16:29:21.324063938,19712,75.2049334436339,18177,3579,7256,89,25251,48,6906,4642,65948
2026-01-26 16:29:21.324931270,19714,85.2151682999574,14923,3325,6558,79,8088,75,5476,6816,45340
2026-01-26 16:29:21.326468679,19715,76.98229407236336,16458,3149,6961,91,14172,114,14796,7742,63483
2026-01-26 16:29:21.344147922,19716,63.57279084551812,17549,3486,6226,95,5281,50,2865,5972,41524
2026-01-26 16:29:21.357456965,19716,60.712767895088334,17549,3486,6226,95,5281,50,16028,3451,52166
2026-01-26 16:29:21.366654058,19717,67.25854183481302,19298,3730,7024,84,17601,81,16028,2471,66317
2026-01-26 16:29:21.386094271,19717,74.42691277165824,19298,3730,7024,84,17601,81,3448,2917,54183
2026-01-26 16:29:21.401170492,19717,65.46216286986122,19298,3730,7024,84,17601,81,3448,1599,52865
2026-01-26 16:29:21.416541574,19717,65.46216286986122,19298,3730,7024,84,17601,81,3448,15612,66878
2026-01-26 16:29:21.428706472,19717,60.172092183645226,19298,3730,7024,84,17601,81,3448,12799,64065
2026-01-26 16:29:21.462003880,19717,55.71961887780687,19298,3730,7024,84,17601,81,3448,8750,60016
2026-01-26 16:29:21.463092534,19717,55.71961887780687,19298,3730,7024,84,17601,81,3448,22684,73950
2026-01-26 16:29:21.464422798,19722,55.71961887780687,16496,2013,6658,80,30506,35,6814,36672,99274
2026-01-26 16:29:21.480586873,19724,55.71961887780687,14894,3295,6380,87,16801,31,9497,50618,101603
2026-01-26 16:29:21.493692707,19725,55.71961887780687,20368,3182,6954,87,5307,47,9497,64459,109901
2026-01-26 16:29:21.514433263,19726,55.71961887780687,12875,2106,8120,81,3951,42,9497,78395,115067
2026-01-26 16:29:21.521115818,19726,55.71961887780687,12875,2106,8120,81,3951,42,9497,92331,129003
2026-01-26 16:29:21.562629636,19727,10.506740073757316,18252,3327,6627,83,15067,51,25112,11082,79601
2026-01-26 16:29:21.565008201,19728,57.9575750550597,18105,2907,7006,97,13162,56,606,7845,49784
2026-01-26 16:29:21.565852045,19728,68.53539853334247,18105,2907,7006,97,13162,56,11647,7143,60123
2026-01-26 16:29:21.575778736,19730,55.93153979529056,16857,3622,12231,122,5720,50,992,3154,42748
2026-01-26 16:29:21.590580162,19731,61.10601894286587,16892,3381,6806,112,7273,52,2649,732,37897
2026-01-26 16:29:21.609466848,19731,61.10601894286587,16892,3381,6806,112,7273,52,2649,14578,51743
2026-01-26 16:29:21.618886350,19731,54.9661957895894,16892,3381,6806,112,7273,52,21208,10334,66058
2026-01-26 16:29:21.642796353,19733,67.97172376291462,16314,3244,6603,103,11796,65,35500,9579,83204
2026-01-26 16:29:21.652947630,19734,48.74482086278333,18375,1951,6031,91,13683,132,709,2978,43950
2026-01-26 16:29:21.666458793,19734,82.3587547356284,18375,1951,6031,91,13683,132,13130,4755,58148
2026-01-26 16:29:21.691023351,19734,56.053811659192824,18375,1951,6031,91,13683,132,30819,868,71950
